fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Aori Qileng,Cody Haddon,1xBet,Under,2.5,2.43,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetOnline.ag,Over,2.5,1.5,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,BetOnline.ag,Under,2.5,2.74,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Over,2.5,1.4,2026-05-24,2026-05-30
Rodrigo Vera,Kangjie Zhu,1xBet,Under,2.5,2.8,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,BetOnline.ag,Over,2.5,1.61,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,BetOnline.ag,Under,2.5,2.45,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Over,2.5,1.6,2026-05-24,2026-05-30
Alex Perez,Su Mudaerji,1xBet,Under,2.5,2.25,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetOnline.ag,Over,1.5,2.61,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,BetOnline.ag,Under,1.5,1.54,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Over,1.5,2.36,2026-05-24,2026-05-30
Zhang Mingyang,Alonzo Menifield,1xBet,Under,1.5,1.55,2026-05-24,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Over,2.5,1.9,2026-05-24,2026-05-30
Kai Asakura,Cameron Smotherman,1xBet,Under,2.5,1.84,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,BetOnline.ag,Over,4.5,1.83,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,BetOnline.ag,Under,4.5,2.0,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Over,2.5,1.4,2026-05-24,2026-05-30
Song Yadong,Deiveson Figueiredo,1xBet,Under,2.5,2.8,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetOnline.ag,Over,1.5,2.53,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,BetOnline.ag,Under,1.5,1.57,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Over,1.5,2.0,2026-05-24,2026-05-30
Sergey Pavlovich,Tallison Teixeira,1xBet,Under,1.5,1.76,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,BetOnline.ag,Over,2.5,1.83,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,BetOnline.ag,Under,2.5,2.0,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Over,2.5,1.98,2026-05-24,2026-05-30
Jake Matthews,Carlston Harris,1xBet,Under,2.5,1.77,2026-05-24,2026-05-30
